record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2008,q2_2008,q3_2008,q4_2008,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
14072321,BOSTON,0,Car,Gasoline,1998,Audi,1,0,0,0,40.15,15.52,2.59,23.42,3700,36000,19,02116
6950469,BOSTON,0,Car,Gasoline,2005,Toyota,1,1,1,1,27.23,29.18,0.93,8.45,2500,15000,31,02124
9261280,BOSTON,0,SUV,Gasoline,2005,Lexus,1,1,0,0,19.21,16.94,1.13,10.27,4100,38000,18,02215
4250394,BOSTON,0,Car,Gasoline,1998,Volkswagen,0,0,1,1,26.6,18.42,1.44,13.08,2600,16000,23,02127
15319250,BOSTON,0,Truck,Gasoline,1995,Chevrolet,0,0,1,1,21.38,16.58,1.29,11.68,3100,13000,22,02122
15864168,BOSTON,0,SUV,Gasoline,2004,Honda,1,1,1,1,21.44,18.23,1.18,10.65,3300,22000,21,02127
12541064,BOSTON,0,Car,Gasoline,2006,Mazda,0,1,1,1,22.23,22.59,0.98,8.91,3100,20000,24,02124
12030869,BOSTON,0,Car,Gasoline,2006,Chrysler,0,0,0,1,10.54,16.94,0.62,5.63,4000,35000,18,02124
11250405,BOSTON,0,Car,Gasoline,1999,Volvo,1,0,0,0,40.27,18.34,2.20,19.88,3200,28000,22,02116
1942508,BOSTON,0,SUV,Gasoline,2004,Jeep,0,1,0,0,7.66,14.76,0.52,4.70,4000,32000,16,02124
13127713,BOSTON,0,Car,Gasoline,2002,Chevrolet,0,0,0,1,26.04,19.97,1.30,11.81,3300,21000,23,02119
12023806,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,0,1,3.41,27.44,0.12,1.13,2700,17000,28,02125
1610746,BOSTON,0,Car,Gasoline,2001,Hyundai,0,1,1,1,26.12,21.27,1.23,11.12,2600,13000,25,02125
6559543,BOSTON,0,Car,Gasoline,2005,Saab,0,0,0,1,25.23,21.21,1.19,10.77,3200,31000,23,02127
14799269,BOSTON,0,Car,Gasoline,1996,Mercury,0,0,0,1,13.55,16.15,0.84,7.60,3400,22000,21,02128
5877197,BOSTON,0,Car,Gasoline,2001,Ford,0,0,1,1,40.49,22.97,1.76,15.96,2600,15000,27,02125
1598887,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,1,1,99.24,22.09,4.49,40.68,3500,26000,23,02127
4174401,BOSTON,0,SUV,Gasoline,2007,Toyota,1,1,0,0,23.42,21.56,1.09,9.84,3500,25000,22,02127
2984355,BOSTON,0,Car,Gasoline,2003,Toyota,0,1,1,0,172.36,21.69,7.94,71.95,3100,21000,24,02125
9392533,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,0,1,47.89,24.01,1.99,18.06,3300,22000,25,02125
3507493,BOSTON,0,Car,Gasoline,2009,Pontiac,0,0,1,1,65.65,24.00,2.74,24.77,2900,16000,24,02128
13125513,BOSTON,0,Car,Gasoline,2001,Lexus,1,1,1,1,25.27,15.31,1.65,14.94,3300,31000,18,02118
9132754,BOSTON,0,Van,Gasoline,2003,Chevrolet,1,1,1,1,24.25,13.56,1.79,16.20,4800,24000,15,02124
9371339,BOSTON,0,Car,Gasoline,2007,Ford,0,1,1,1,39.51,19.21,2.06,18.63,3400,25000,20,02127
1111353,BOSTON,0,Car,Gasoline,1997,Cadillac,1,1,0,0,8.08,15.21,0.53,4.81,4000,38000,19,02119
6434941,BOSTON,0,Car,Gasoline,2001,Mazda,0,1,1,1,1.4,18.72,0.07,0.68,2900,20000,22,02119
