record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2009,q2_2009,q3_2009,q4_2009,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
2705020,BOSTON,0,Car,Gasoline,2007,Honda,1,1,0,0,46.04,24.97,1.84,16.70,3100,21000,26,02128
2309888,BOSTON,0,Car,Gasoline,2005,Nissan,1,1,1,1,0,18.60,0.00,0.00,3400,29000,21,02125
8778643,BOSTON,0,Car,Gasoline,2009,Honda,0,0,0,1,12.44,29.40,0.42,3.83,2600,17000,30,02118
2891986,BOSTON,0,SUV,Gasoline,2005,Jeep,1,1,1,1,26.42,15.06,1.75,15.89,3800,29000,17,02115
11545610,BOSTON,0,Car,Flexfuel,2008,Chevrolet,1,0,0,0,12.72,24.50,0.52,4.70,3600,21000,25,02128
10184019,BOSTON,0,SUV,Gasoline,2003,Jeep,0,1,1,1,97.51,14.76,6.61,59.84,4100,25000,17,02114
4780226,BOSTON,0,SUV,Gasoline,2001,Nissan,0,0,1,1,26.44,13.34,1.98,17.95,4000,24000,16,02118
210802,BOSTON,0,Car,Gasoline,1999,Honda,0,0,0,1,0,18.05,0.00,0.00,3000,21000,23,02127
5817802,BOSTON,0,Car,Gasoline,2008,Subaru,1,1,1,1,49.15,21.56,2.28,20.65,3400,23000,22,02116
10113576,BOSTON,0,Car,Gasoline,2000,Bmw,0,0,0,1,18.24,17.16,1.06,9.62,3500,39000,21,02116
286890,BOSTON,0,Car,Gasoline,2000,Pontiac,1,1,1,0,22.82,19.18,1.19,10.78,3100,18000,23,02118
8244404,BOSTON,0,SUV,Gasoline,2004,Cadillac,0,1,1,1,12.04,12.40,0.97,8.79,5600,56000,14,02113
15420020,BOSTON,0,SUV,Gasoline,2003,Lexus,0,1,1,1,27.01,15.63,1.73,15.65,3900,38000,18,02118
10342365,BOSTON,0,Car,Gasoline,1999,Volkswagen,1,1,1,0,32.67,18.79,1.74,15.74,2900,18000,23,02122
2064392,BOSTON,0,SUV,Flexfuel,2005,Jeep,0,0,0,1,27.96,17.17,1.63,14.74,3600,20000,19,02120
5882310,BOSTON,0,SUV,Gasoline,2008,Toyota,1,1,1,0,0,21.56,0.00,0.00,3400,23000,22,02128
4586712,BOSTON,0,Car,Gasoline,1997,Volvo,1,1,1,0,28.68,16.48,1.74,15.76,3300,29000,21,02128
12138948,BOSTON,0,Truck,Gasoline,2004,Gmc,1,1,1,0,51.68,12.65,4.08,36.98,5000,43000,14,02119
7373418,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,0,1,39.1,30.12,1.30,11.76,2300,14000,32,02119
11857893,BOSTON,0,Car,Gasoline,1998,Toyota,1,1,1,0,26.31,23.22,1.13,10.26,2400,14000,29,02125
11531794,BOSTON,0,Car,Gasoline,2006,Chevrolet,1,1,0,0,15.59,23.53,0.66,6.00,3000,13000,25,02118
7410883,BOSTON,0,Car,Gasoline,2010,Toyota,0,0,1,1,49.52,29.00,1.71,15.46,2800,17000,29,02128
6120170,BOSTON,0,SUV,Gasoline,2004,Lexus,1,1,0,0,22.6,16.27,1.39,12.58,4100,37000,18,02118
